,DBN,school_name,lat,lon,Num_of_SAT_Test_Takers,SAT_Critical_Reading_AvgScore,SAT_Math_AvgScore,SAT_Writing_AvgScore,,,,
432,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,40.6981894,-73.7460088,49,402,398,402,,,,
438,29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",40.7485595,-73.9470224,49,379,414,359,,,,
16,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",40.717321,-73.989323,50,375,388,385,,,,
161,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,40.8339721,-73.9027472,50,393,394,382,,,,
176,09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,40.8272169,-73.9039243,50,368,384,369,,,,
461,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,40.6541651,-74.0053613,50,380,366,352,,,,
93,04M495,PARK EAST HIGH SCHOOL,40.7936899,-73.9491583,51,373,379,376,,,,
132,07X551,BRONX ACADEMY OF LETTERS,40.8185183,-73.9199681,51,413,381,407,,,,
168,09X329,DREAMYARD PREPARATORY SCHOOL,40.8271913,-73.9040046,51,382,365,391,,,,
192,10X434,BELMONT PREPARATORY HIGH SCHOOL,40.8595181,-73.8885909,51,404,418,400,,,,
341,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,40.6213242,-73.9825025,51,376,385,368,,,,
138,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,40.8213444,-73.8556733,52,384,385,389,,,,
184,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,40.8481655,-73.8934724,52,304,356,302,,,,
197,10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",40.8771416,-73.9126839,52,423,420,427,,,,
246,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,40.6785854,-73.9619432,52,360,364,356,,,,
278,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,40.6848686,-73.99077,52,361,367,383,,,,
430,29Q248,QUEENS PREPARATORY ACADEMY,40.698328,-73.74615,52,360,380,359,,,,
437,29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",40.7560633,-73.9250653,52,385,377,377,,,,
11,02M294,ESSEX STREET ACADEMY,40.717321,-73.989323,53,394,384,378,,,,
314,17K625,PAUL ROBESON HIGH SCHOOL,40.6335392,-73.9174421,53,365,363,355,,,,
27,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,40.7326759,-73.9825764,54,492,465,467,,,,
99,05M304,MOTT HALL HIGH SCHOOL,40.810687,-73.956061,54,413,399,398,,,,
152,08X530,BANANA KELLY HIGH SCHOOL,40.8207637,-73.8808035,54,373,381,377,,,,
169,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,40.8273033,-73.9045097,54,315,339,297,,,,
185,10X284,BRONX SCHOOL OF LAW AND FINANCE,40.8704419,-73.8969425,54,402,395,385,,,,
307,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,40.6691193,-73.9617434,54,386,391,369,,,,
318,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,40.6480444,-73.9222286,54,383,358,377,,,,
330,19K409,EAST NEW YORK FAMILY ACADEMY,40.6668454,-73.8952889,54,416,432,394,,,,
